#Data tag : 19v3 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 323755:7239 | 09/30/18 11:17:44 | 897  | 897  | 0.298221123    | 0.287095490   |
| 323775:7240 | 09/30/18 19:49:18 | 129  | 129  | 0.049072549    | 0.046767743   |
| 323778:7240 | 09/30/18 20:41:26 | 934  | 934  | 0.282906951    | 0.270935867   |
| 323790:7242 | 10/01/18 07:35:02 | 895  | 895  | 0.288879170    | 0.276737455   |
| 323794:7242 | 10/01/18 13:29:17 | 68   | 68   | 0.016768359    | 0.016056603   |
| 323841:7245 | 10/01/18 23:32:02 | 463  | 463  | 0.162433907    | 0.155038205   |
| 323857:7245 | 10/02/18 02:35:30 | 357  | 357  | 0.098889061    | 0.095513180   |
| 323940:7252 | 10/03/18 01:12:47 | 1428 | 1428 | 0.421313858    | 0.403575104   |
| 323954:7252 | 10/03/18 11:06:37 | 77   | 77   | 0.015712808    | 0.015140930   |
| 323976:7253 | 10/03/18 14:01:34 | 44   | 44   | 0.015721020    | 0.014398765   |
| 323978:7253 | 10/03/18 14:23:01 | 66   | 66   | 0.026321183    | 0.021290295   |
| 323980:7253 | 10/03/18 14:51:36 | 189  | 189  | 0.069336036    | 0.065913138   |
| 323983:7253 | 10/03/18 16:11:58 | 181  | 181  | 0.058720044    | 0.055919416   |
| 323997:7253 | 10/03/18 17:30:39 | 498  | 498  | 0.134603845    | 0.128791789   |
| 324021:7256 | 10/04/18 01:48:39 | 726  | 726  | 0.254818650    | 0.243593089   |
| 324022:7256 | 10/04/18 06:50:15 | 460  | 460  | 0.109032466    | 0.105571088   |
| 324077:7259 | 10/04/18 22:20:56 | 699  | 699  | 0.252291564    | 0.242582801   |
| 324201:7264 | 10/06/18 23:58:19 | 355  | 355  | 0.112235760    | 0.107195764   |
| 324202:7264 | 10/07/18 08:48:52 | 236  | 236  | 0.039755353    | 0.038900461   |
| 324205:7264 | 10/07/18 10:31:04 | 158  | 158  | 0.023376601    | 0.022668736   |
